temp,size,growthRate
10-pop1,1.384599158,5.613317928
10-pop2,2.395160077,10.26847492
10-population 1,4.289771898,12.11486508
ten-pop1,5.272461005,15.51264716
ten-pop2,6.262186534,19.13036659
10-pop1,6.356605499,20.75293396
10-pop2,7.645260267,23.98702715
10-pop1,9.523740405,28.01626626
10-pop2,10.07717547,31.17361998
10-population 2,11.36299378,33.54446499
20-pop1,1.248444405,13.97687205
20-pop2,2.116874635,17.25049489
20-pop1,4.148324429,20.53292005
20-pop2,4.154233344,23.23050275
twenty-pop1,5.432107889,26.19019609
twenty-pop2,6.023827457,29.33849862
20-pop1,8.457855735,32.81763993
20-pop2,9.874048997,35.464449
20-population 1,9.448778271,37.77625928
20-population 2,10.96528114,40.06501927
