"","temp","size","growthRate","pop"
"1","10",1.384599158,5.613317928,"pop1"
"2","10",2.395160077,10.26847492,"pop2"
"3","10",4.289771898,12.11486508,"pop1"
"4","10",5.272461005,15.51264716,"pop1"
"5","10",6.262186534,19.13036659,"pop2"
"6","10",6.356605499,20.75293396,"pop1"
"7","10",7.645260267,23.98702715,"pop2"
"8","10",9.523740405,28.01626626,"pop1"
"9","10",10.07717547,31.17361998,"pop2"
"10","10",11.36299378,33.54446499,"pop2"
"11","20",1.248444405,13.97687205,"pop1"
"12","20",2.116874635,17.25049489,"pop2"
"13","20",4.148324429,20.53292005,"pop1"
"14","20",4.154233344,23.23050275,"pop2"
"15","20",5.432107889,26.19019609,"pop1"
"16","20",6.023827457,29.33849862,"pop2"
"17","20",8.457855735,32.81763993,"pop1"
"18","20",9.874048997,35.464449,"pop2"
"19","20",9.448778271,37.77625928,"pop1"
"20","20",10.96528114,40.06501927,"pop2"
